PING 129.70.141.143 (129.70.141.143) 56(84) bytes of data.
64 bytes from 129.70.141.143: icmp_seq=115 ttl=64 time=17.4 ms
64 bytes from 129.70.141.143: icmp_seq=116 ttl=64 time=8.08 ms
64 bytes from 129.70.141.143: icmp_seq=117 ttl=64 time=6.83 ms
64 bytes from 129.70.141.143: icmp_seq=118 ttl=64 time=20.5 ms
64 bytes from 129.70.141.143: icmp_seq=119 ttl=64 time=18.8 ms
64 bytes from 129.70.141.143: icmp_seq=120 ttl=64 time=17.7 ms
64 bytes from 129.70.141.143: icmp_seq=121 ttl=64 time=17.1 ms
64 bytes from 129.70.141.143: icmp_seq=122 ttl=64 time=21.8 ms
64 bytes from 129.70.141.143: icmp_seq=123 ttl=64 time=16.7 ms
64 bytes from 129.70.141.143: icmp_seq=124 ttl=64 time=19.3 ms
64 bytes from 129.70.141.143: icmp_seq=125 ttl=64 time=18.1 ms
64 bytes from 129.70.141.143: icmp_seq=126 ttl=64 time=9.02 ms
64 bytes from 129.70.141.143: icmp_seq=127 ttl=64 time=8.62 ms
64 bytes from 129.70.141.143: icmp_seq=128 ttl=64 time=14.9 ms
64 bytes from 129.70.141.143: icmp_seq=129 ttl=64 time=4.92 ms
64 bytes from 129.70.141.143: icmp_seq=130 ttl=64 time=26.2 ms
64 bytes from 129.70.141.143: icmp_seq=131 ttl=64 time=19.1 ms
64 bytes from 129.70.141.143: icmp_seq=132 ttl=64 time=9.11 ms
64 bytes from 129.70.141.143: icmp_seq=133 ttl=64 time=16.7 ms
64 bytes from 129.70.141.143: icmp_seq=134 ttl=64 time=28.2 ms
64 bytes from 129.70.141.143: icmp_seq=135 ttl=64 time=4.87 ms
64 bytes from 129.70.141.143: icmp_seq=136 ttl=64 time=15.1 ms
64 bytes from 129.70.141.143: icmp_seq=137 ttl=64 time=11.9 ms
64 bytes from 129.70.141.143: icmp_seq=138 ttl=64 time=18.6 ms
64 bytes from 129.70.141.143: icmp_seq=139 ttl=64 time=7.62 ms
64 bytes from 129.70.141.143: icmp_seq=140 ttl=64 time=13.9 ms
64 bytes from 129.70.141.143: icmp_seq=141 ttl=64 time=12.9 ms
64 bytes from 129.70.141.143: icmp_seq=142 ttl=64 time=19.5 ms
64 bytes from 129.70.141.143: icmp_seq=143 ttl=64 time=17.7 ms
64 bytes from 129.70.141.143: icmp_seq=144 ttl=64 time=7.72 ms
64 bytes from 129.70.141.143: icmp_seq=145 ttl=64 time=13.3 ms
64 bytes from 129.70.141.143: icmp_seq=146 ttl=64 time=12.5 ms
64 bytes from 129.70.141.143: icmp_seq=147 ttl=64 time=32.7 ms
64 bytes from 129.70.141.143: icmp_seq=148 ttl=64 time=29.8 ms
64 bytes from 129.70.141.143: icmp_seq=149 ttl=64 time=8.02 ms
64 bytes from 129.70.141.143: icmp_seq=150 ttl=64 time=5.66 ms
64 bytes from 129.70.141.143: icmp_seq=151 ttl=64 time=5.40 ms
64 bytes from 129.70.141.143: icmp_seq=152 ttl=64 time=10.1 ms
64 bytes from 129.70.141.143: icmp_seq=153 ttl=64 time=17.1 ms
64 bytes from 129.70.141.143: icmp_seq=154 ttl=64 time=8.48 ms
64 bytes from 129.70.141.143: icmp_seq=155 ttl=64 time=5.92 ms
64 bytes from 129.70.141.143: icmp_seq=156 ttl=64 time=12.5 ms
64 bytes from 129.70.141.143: icmp_seq=157 ttl=64 time=25.3 ms
64 bytes from 129.70.141.143: icmp_seq=158 ttl=64 time=9.36 ms
64 bytes from 129.70.141.143: icmp_seq=159 ttl=64 time=18.0 ms
64 bytes from 129.70.141.143: icmp_seq=160 ttl=64 time=17.3 ms
64 bytes from 129.70.141.143: icmp_seq=161 ttl=64 time=5.59 ms
64 bytes from 129.70.141.143: icmp_seq=162 ttl=64 time=19.1 ms
64 bytes from 129.70.141.143: icmp_seq=163 ttl=64 time=17.8 ms
64 bytes from 129.70.141.143: icmp_seq=164 ttl=64 time=30.3 ms
64 bytes from 129.70.141.143: icmp_seq=165 ttl=64 time=14.4 ms
64 bytes from 129.70.141.143: icmp_seq=166 ttl=64 time=5.29 ms
64 bytes from 129.70.141.143: icmp_seq=167 ttl=64 time=19.3 ms
64 bytes from 129.70.141.143: icmp_seq=168 ttl=64 time=19.8 ms
64 bytes from 129.70.141.143: icmp_seq=169 ttl=64 time=8.68 ms
64 bytes from 129.70.141.143: icmp_seq=170 ttl=64 time=40.1 ms
64 bytes from 129.70.141.143: icmp_seq=171 ttl=64 time=5.05 ms
64 bytes from 129.70.141.143: icmp_seq=172 ttl=64 time=12.8 ms
64 bytes from 129.70.141.143: icmp_seq=173 ttl=64 time=18.5 ms
64 bytes from 129.70.141.143: icmp_seq=174 ttl=64 time=17.2 ms
64 bytes from 129.70.141.143: icmp_seq=175 ttl=64 time=7.74 ms
64 bytes from 129.70.141.143: icmp_seq=176 ttl=64 time=43.3 ms
64 bytes from 129.70.141.143: icmp_seq=177 ttl=64 time=27.1 ms
64 bytes from 129.70.141.143: icmp_seq=178 ttl=64 time=252 ms
64 bytes from 129.70.141.143: icmp_seq=179 ttl=64 time=83.4 ms
64 bytes from 129.70.141.143: icmp_seq=180 ttl=64 time=79.8 ms
64 bytes from 129.70.141.143: icmp_seq=181 ttl=64 time=13.7 ms
64 bytes from 129.70.141.143: icmp_seq=182 ttl=64 time=19.6 ms
64 bytes from 129.70.141.143: icmp_seq=183 ttl=64 time=10.5 ms
64 bytes from 129.70.141.143: icmp_seq=184 ttl=64 time=17.6 ms
64 bytes from 129.70.141.143: icmp_seq=185 ttl=64 time=8.58 ms
64 bytes from 129.70.141.143: icmp_seq=186 ttl=64 time=13.7 ms
64 bytes from 129.70.141.143: icmp_seq=187 ttl=64 time=11.1 ms
64 bytes from 129.70.141.143: icmp_seq=188 ttl=64 time=11.1 ms
64 bytes from 129.70.141.143: icmp_seq=189 ttl=64 time=16.5 ms
64 bytes from 129.70.141.143: icmp_seq=190 ttl=64 time=7.47 ms
64 bytes from 129.70.141.143: icmp_seq=191 ttl=64 time=5.66 ms
64 bytes from 129.70.141.143: icmp_seq=192 ttl=64 time=20.6 ms
64 bytes from 129.70.141.143: icmp_seq=193 ttl=64 time=10.3 ms
64 bytes from 129.70.141.143: icmp_seq=194 ttl=64 time=16.0 ms
64 bytes from 129.70.141.143: icmp_seq=195 ttl=64 time=22.3 ms
64 bytes from 129.70.141.143: icmp_seq=196 ttl=64 time=5.82 ms
64 bytes from 129.70.141.143: icmp_seq=197 ttl=64 time=19.6 ms
64 bytes from 129.70.141.143: icmp_seq=198 ttl=64 time=17.6 ms
64 bytes from 129.70.141.143: icmp_seq=199 ttl=64 time=8.05 ms
64 bytes from 129.70.141.143: icmp_seq=200 ttl=64 time=17.2 ms
64 bytes from 129.70.141.143: icmp_seq=201 ttl=64 time=13.4 ms
64 bytes from 129.70.141.143: icmp_seq=202 ttl=64 time=20.1 ms
64 bytes from 129.70.141.143: icmp_seq=203 ttl=64 time=18.5 ms
64 bytes from 129.70.141.143: icmp_seq=204 ttl=64 time=24.5 ms
64 bytes from 129.70.141.143: icmp_seq=205 ttl=64 time=15.0 ms
64 bytes from 129.70.141.143: icmp_seq=206 ttl=64 time=14.3 ms
64 bytes from 129.70.141.143: icmp_seq=207 ttl=64 time=12.3 ms
64 bytes from 129.70.141.143: icmp_seq=208 ttl=64 time=20.4 ms
64 bytes from 129.70.141.143: icmp_seq=209 ttl=64 time=17.0 ms
64 bytes from 129.70.141.143: icmp_seq=210 ttl=64 time=16.0 ms
64 bytes from 129.70.141.143: icmp_seq=211 ttl=64 time=14.6 ms
64 bytes from 129.70.141.143: icmp_seq=212 ttl=64 time=5.10 ms
64 bytes from 129.70.141.143: icmp_seq=213 ttl=64 time=5.40 ms
64 bytes from 129.70.141.143: icmp_seq=214 ttl=64 time=10.2 ms
64 bytes from 129.70.141.143: icmp_seq=215 ttl=64 time=10.3 ms
64 bytes from 129.70.141.143: icmp_seq=216 ttl=64 time=15.2 ms
64 bytes from 129.70.141.143: icmp_seq=217 ttl=64 time=5.95 ms
64 bytes from 129.70.141.143: icmp_seq=218 ttl=64 time=12.7 ms
64 bytes from 129.70.141.143: icmp_seq=219 ttl=64 time=10.7 ms
64 bytes from 129.70.141.143: icmp_seq=220 ttl=64 time=16.8 ms
64 bytes from 129.70.141.143: icmp_seq=221 ttl=64 time=14.9 ms
64 bytes from 129.70.141.143: icmp_seq=222 ttl=64 time=14.4 ms
64 bytes from 129.70.141.143: icmp_seq=223 ttl=64 time=13.9 ms
64 bytes from 129.70.141.143: icmp_seq=224 ttl=64 time=38.9 ms
64 bytes from 129.70.141.143: icmp_seq=225 ttl=64 time=10.0 ms
64 bytes from 129.70.141.143: icmp_seq=226 ttl=64 time=37.0 ms
64 bytes from 129.70.141.143: icmp_seq=227 ttl=64 time=15.4 ms
64 bytes from 129.70.141.143: icmp_seq=228 ttl=64 time=13.9 ms
64 bytes from 129.70.141.143: icmp_seq=229 ttl=64 time=5.36 ms
64 bytes from 129.70.141.143: icmp_seq=230 ttl=64 time=14.5 ms
64 bytes from 129.70.141.143: icmp_seq=231 ttl=64 time=17.3 ms
64 bytes from 129.70.141.143: icmp_seq=232 ttl=64 time=8.31 ms
64 bytes from 129.70.141.143: icmp_seq=233 ttl=64 time=14.6 ms
64 bytes from 129.70.141.143: icmp_seq=234 ttl=64 time=4.98 ms
64 bytes from 129.70.141.143: icmp_seq=235 ttl=64 time=4.06 ms
64 bytes from 129.70.141.143: icmp_seq=236 ttl=64 time=10.5 ms
64 bytes from 129.70.141.143: icmp_seq=237 ttl=64 time=8.90 ms
64 bytes from 129.70.141.143: icmp_seq=238 ttl=64 time=6.82 ms
64 bytes from 129.70.141.143: icmp_seq=239 ttl=64 time=4.91 ms
64 bytes from 129.70.141.143: icmp_seq=240 ttl=64 time=3.97 ms
64 bytes from 129.70.141.143: icmp_seq=241 ttl=64 time=19.5 ms
64 bytes from 129.70.141.143: icmp_seq=242 ttl=64 time=17.5 ms
64 bytes from 129.70.141.143: icmp_seq=243 ttl=64 time=7.32 ms
64 bytes from 129.70.141.143: icmp_seq=244 ttl=64 time=5.85 ms
64 bytes from 129.70.141.143: icmp_seq=245 ttl=64 time=10.5 ms
64 bytes from 129.70.141.143: icmp_seq=246 ttl=64 time=19.0 ms
64 bytes from 129.70.141.143: icmp_seq=247 ttl=64 time=9.44 ms
64 bytes from 129.70.141.143: icmp_seq=248 ttl=64 time=16.2 ms
64 bytes from 129.70.141.143: icmp_seq=249 ttl=64 time=14.5 ms
64 bytes from 129.70.141.143: icmp_seq=250 ttl=64 time=12.7 ms
64 bytes from 129.70.141.143: icmp_seq=251 ttl=64 time=10.5 ms
64 bytes from 129.70.141.143: icmp_seq=252 ttl=64 time=8.53 ms
64 bytes from 129.70.141.143: icmp_seq=253 ttl=64 time=7.48 ms
64 bytes from 129.70.141.143: icmp_seq=254 ttl=64 time=5.69 ms
64 bytes from 129.70.141.143: icmp_seq=255 ttl=64 time=14.0 ms
64 bytes from 129.70.141.143: icmp_seq=256 ttl=64 time=12.7 ms
64 bytes from 129.70.141.143: icmp_seq=257 ttl=64 time=16.5 ms
64 bytes from 129.70.141.143: icmp_seq=258 ttl=64 time=7.28 ms
64 bytes from 129.70.141.143: icmp_seq=259 ttl=64 time=13.2 ms
64 bytes from 129.70.141.143: icmp_seq=260 ttl=64 time=29.5 ms
64 bytes from 129.70.141.143: icmp_seq=261 ttl=64 time=19.3 ms
64 bytes from 129.70.141.143: icmp_seq=262 ttl=64 time=16.3 ms
64 bytes from 129.70.141.143: icmp_seq=263 ttl=64 time=32.0 ms
64 bytes from 129.70.141.143: icmp_seq=264 ttl=64 time=15.9 ms
64 bytes from 129.70.141.143: icmp_seq=265 ttl=64 time=13.5 ms
64 bytes from 129.70.141.143: icmp_seq=266 ttl=64 time=19.1 ms
64 bytes from 129.70.141.143: icmp_seq=267 ttl=64 time=18.3 ms
64 bytes from 129.70.141.143: icmp_seq=268 ttl=64 time=8.82 ms
64 bytes from 129.70.141.143: icmp_seq=269 ttl=64 time=9.16 ms
64 bytes from 129.70.141.143: icmp_seq=270 ttl=64 time=13.3 ms
64 bytes from 129.70.141.143: icmp_seq=271 ttl=64 time=11.9 ms
64 bytes from 129.70.141.143: icmp_seq=272 ttl=64 time=20.7 ms
64 bytes from 129.70.141.143: icmp_seq=273 ttl=64 time=18.0 ms
64 bytes from 129.70.141.143: icmp_seq=274 ttl=64 time=15.3 ms
64 bytes from 129.70.141.143: icmp_seq=275 ttl=64 time=14.3 ms
64 bytes from 129.70.141.143: icmp_seq=276 ttl=64 time=5.88 ms
64 bytes from 129.70.141.143: icmp_seq=277 ttl=64 time=11.9 ms
64 bytes from 129.70.141.143: icmp_seq=278 ttl=64 time=9.47 ms
64 bytes from 129.70.141.143: icmp_seq=279 ttl=64 time=10.5 ms
64 bytes from 129.70.141.143: icmp_seq=280 ttl=64 time=15.8 ms
64 bytes from 129.70.141.143: icmp_seq=281 ttl=64 time=5.63 ms
64 bytes from 129.70.141.143: icmp_seq=282 ttl=64 time=21.6 ms
64 bytes from 129.70.141.143: icmp_seq=283 ttl=64 time=16.4 ms
64 bytes from 129.70.141.143: icmp_seq=284 ttl=64 time=6.93 ms
64 bytes from 129.70.141.143: icmp_seq=285 ttl=64 time=5.87 ms
64 bytes from 129.70.141.143: icmp_seq=286 ttl=64 time=13.7 ms
64 bytes from 129.70.141.143: icmp_seq=287 ttl=64 time=32.5 ms
64 bytes from 129.70.141.143: icmp_seq=288 ttl=64 time=17.6 ms
64 bytes from 129.70.141.143: icmp_seq=289 ttl=64 time=6.90 ms
64 bytes from 129.70.141.143: icmp_seq=290 ttl=64 time=10.8 ms
64 bytes from 129.70.141.143: icmp_seq=291 ttl=64 time=11.4 ms
64 bytes from 129.70.141.143: icmp_seq=292 ttl=64 time=9.59 ms
64 bytes from 129.70.141.143: icmp_seq=293 ttl=64 time=22.5 ms
64 bytes from 129.70.141.143: icmp_seq=294 ttl=64 time=14.0 ms
64 bytes from 129.70.141.143: icmp_seq=295 ttl=64 time=13.0 ms
64 bytes from 129.70.141.143: icmp_seq=296 ttl=64 time=11.6 ms
64 bytes from 129.70.141.143: icmp_seq=297 ttl=64 time=35.7 ms
64 bytes from 129.70.141.143: icmp_seq=298 ttl=64 time=235 ms
64 bytes from 129.70.141.143: icmp_seq=299 ttl=64 time=205 ms
64 bytes from 129.70.141.143: icmp_seq=300 ttl=64 time=109 ms
64 bytes from 129.70.141.143: icmp_seq=301 ttl=64 time=15.3 ms
64 bytes from 129.70.141.143: icmp_seq=302 ttl=64 time=6.16 ms
64 bytes from 129.70.141.143: icmp_seq=303 ttl=64 time=22.2 ms
64 bytes from 129.70.141.143: icmp_seq=304 ttl=64 time=25.4 ms
64 bytes from 129.70.141.143: icmp_seq=305 ttl=64 time=10.1 ms
64 bytes from 129.70.141.143: icmp_seq=306 ttl=64 time=9.09 ms
64 bytes from 129.70.141.143: icmp_seq=307 ttl=64 time=14.7 ms
64 bytes from 129.70.141.143: icmp_seq=308 ttl=64 time=14.4 ms
64 bytes from 129.70.141.143: icmp_seq=309 ttl=64 time=11.3 ms
64 bytes from 129.70.141.143: icmp_seq=310 ttl=64 time=9.68 ms
64 bytes from 129.70.141.143: icmp_seq=311 ttl=64 time=17.7 ms
64 bytes from 129.70.141.143: icmp_seq=312 ttl=64 time=6.61 ms
64 bytes from 129.70.141.143: icmp_seq=313 ttl=64 time=4.44 ms
64 bytes from 129.70.141.143: icmp_seq=314 ttl=64 time=11.0 ms
64 bytes from 129.70.141.143: icmp_seq=315 ttl=64 time=9.99 ms
64 bytes from 129.70.141.143: icmp_seq=316 ttl=64 time=8.71 ms
64 bytes from 129.70.141.143: icmp_seq=317 ttl=64 time=14.3 ms
64 bytes from 129.70.141.143: icmp_seq=318 ttl=64 time=12.7 ms
64 bytes from 129.70.141.143: icmp_seq=319 ttl=64 time=19.3 ms
64 bytes from 129.70.141.143: icmp_seq=320 ttl=64 time=18.6 ms
