fpr,tpr,mr,filename
0.015111,0.456564,0.837307,hokuyo_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_26_resolution_0.05.png
0.062502,0.892566,0.324778,sick_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.7_map_update_angle_thresh_0.9.pgm,gt_wallthickness_5_resolution_0.05.png
0.021226,0.538576,0.877981,hokuyo_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_39_resolution_0.05.png
0.029580,0.829684,0.916667,sick_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_34_resolution_0.1.png
0.037369,0.729742,0.625502,sick_2_gmapping__particles_50_minimumScore_0.0_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_11_resolution_0.025.png
0.044514,0.737180,0.719440,hokuyo_1_gmapping__particles_75_minimumScore_0.0_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.057145,0.860105,0.795322,sick_1_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.1_map_update_angle_thresh_0.5.pgm,gt_wallthickness_29_resolution_0.05.png
0.031323,0.734059,0.738049,sick_1_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.1_map_update_angle_thresh_0.5.pgm,gt_wallthickness_18_resolution_0.025.png
0.032651,0.484368,0.543705,hokuyo_2_gmapping__particles_50_minimumScore_0.01_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_11_resolution_0.025.png
0.150077,0.891829,0.334127,hokuyo_1_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_1.3.pgm,gt_wallthickness_11_resolution_0.025.png
0.040379,0.768557,0.833459,hokuyo_1_gmapping__particles_75_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_37_resolution_0.025.png
0.060839,0.923866,0.709486,sick_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_20_resolution_0.025.png
0.009508,0.478041,0.920075,sick_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.1_map_update_angle_thresh_0.5.pgm,gt_wallthickness_29_resolution_0.05.png
0.008648,0.608486,0.904828,sick_1_gmapping__particles_50_minimumScore_0.3_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.011171,0.771258,0.927702,sick_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_28_resolution_0.025.png
0.100146,0.898057,0.695491,hokuyo_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_29_resolution_0.05.png
0.084773,0.878952,0.725830,hokuyo_1_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_29_resolution_0.05.png
0.037722,0.922454,0.852675,sick_2_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_0.5.pgm,gt_wallthickness_34_resolution_0.025.png
0.016345,0.777045,0.895839,sick_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.1_map_update_angle_thresh_0.5.pgm,gt_wallthickness_26_resolution_0.05.png
0.124217,0.792386,0.354417,hokuyo_2_gmapping__particles_20_minimumScore_0.0_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_11_resolution_0.025.png
0.005073,0.592904,0.941760,sick_1_gmapping__particles_75_minimumScore_0.01_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.013116,0.573620,0.838172,sick_2_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.7_map_update_angle_thresh_1.3.pgm,gt_wallthickness_18_resolution_0.025.png
0.061721,0.886444,0.694892,hokuyo_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.1_map_update_angle_thresh_0.5.pgm,gt_wallthickness_20_resolution_0.025.png
0.014844,0.507227,0.616425,sick_1_gmapping__particles_75_minimumScore_0.01_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_8_resolution_0.025.png
0.054710,0.741263,0.677167,hokuyo_1_gmapping__particles_75_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.114816,0.785829,0.633687,hokuyo_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_29_resolution_0.05.png
0.081924,0.835014,0.548192,hokuyo_1_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_0.9.pgm,gt_wallthickness_18_resolution_0.025.png
0.076971,0.208625,0.115368,hokuyo_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.4_map_update_angle_thresh_1.3.pgm,gt_wallthickness_8_resolution_0.025.png
